query_id,system,returned_at_k,p_at_10,strict_p_at_10,ndcg_at_10,mrr_at_10,pooled_relevant_coverage_at_10,zero_result
T06,omicsdi,10,1.0,0.2,0.871884,0.5,0.30303,0
T07,bioscouter_keyword,10,1.0,0.1,0.782707,0.1,0.294118,0
T07,bioscouter_embedding,10,1.0,0.1,1.0,1.0,0.294118,0
T07,bioscouter_hybrid,10,1.0,0.1,1.0,1.0,0.294118,0
T07,native_source_api,10,0.7,0.0,0.541022,0.0,0.205882,0
T07,omicsdi,9,0.8,0.0,0.573769,0.0,0.235294,0
T08,bioscouter_keyword,10,1.0,0.5,0.667819,1.0,0.277778,0
T08,bioscouter_embedding,10,1.0,0.6,0.78727,1.0,0.277778,0
T08,bioscouter_hybrid,10,1.0,0.6,0.78727,1.0,0.277778,0
T08,native_source_api,10,0.9,0.6,0.797013,1.0,0.25,0
T08,omicsdi,10,0.9,0.6,0.659308,0.5,0.25,0
T09,bioscouter_keyword,10,0.0,0.0,0.0,0.0,0.0,0
T09,bioscouter_embedding,10,0.0,0.0,0.0,0.0,0.0,0
T09,bioscouter_hybrid,10,0.1,0.0,0.386853,0.0,0.5,0
T09,native_source_api,1,0.1,0.0,0.613147,0.0,0.5,0
T09,omicsdi,0,0.0,0.0,0.0,0.0,0.0,1
T10,bioscouter_keyword,10,0.5,0.0,0.60514,0.0,0.2,0
T10,bioscouter_embedding,10,1.0,0.0,1.0,0.0,0.4,0
T10,bioscouter_hybrid,10,0.9,0.0,0.936379,0.0,0.36,0
T10,native_source_api,2,0.2,0.0,0.358954,0.0,0.08,0
T10,omicsdi,10,0.9,0.0,0.861138,0.0,0.36,0
T11,bioscouter_keyword,10,1.0,0.2,0.52897,1.0,0.263158,0
T11,bioscouter_embedding,10,1.0,0.5,0.66164,0.5,0.263158,0
T11,bioscouter_hybrid,10,1.0,0.5,0.66164,0.5,0.263158,0
T11,native_source_api,10,1.0,0.4,0.556473,0.333333,0.263158,0
T11,omicsdi,10,1.0,0.4,0.665527,1.0,0.263158,0
T12,bioscouter_keyword,10,1.0,0.7,0.860634,1.0,0.285714,0
T12,bioscouter_embedding,10,1.0,1.0,1.0,1.0,0.285714,0
T12,bioscouter_hybrid,10,1.0,1.0,1.0,1.0,0.285714,0
T12,native_source_api,10,0.9,0.3,0.543662,1.0,0.257143,0
T12,omicsdi,10,1.0,0.5,0.737003,1.0,0.285714,0
